Player~Pos~Age~Tm~G~GS~MP~FG~FGA~FG%~3P~3PA~3P%~FT~FTA~FT%~ORB~DRB~TRB~AST~STL~BLK~TOV~PF~PTS
Jalen Johnson~SF~24.0~ATL~72.0~72.0~35.2~8.3~17.1~0.489~1.7~4.7~0.352~4.2~5.3~0.788~1.4~8.9~10.3~7.9~1.2~0.4~3.4~2.1~22.5
Paolo Banchero~PF~23.0~ORL~71.0~71.0~34.7~7.4~15.9~0.462~1.2~3.8~0.311~6.3~8.2~0.774~1.1~7.2~8.4~5.1~0.7~0.6~3.0~2.0~22.2
Jayson Tatum~PF~27.0~BOS~16.0~16.0~32.6~7.4~17.9~0.411~2.9~8.9~0.329~4.1~4.9~0.823~0.5~9.5~10.0~5.3~1.4~0.2~2.4~1.6~21.8
Norman Powell~SG~32.0~MIA~57.0~52.0~29.7~7.2~15.4~0.47~2.7~7.1~0.38~4.5~5.5~0.824~0.4~3.2~3.5~2.5~1.1~0.2~1.9~2.2~21.7
Trey Murphy III~SF~25.0~NOP~66.0~66.0~35.5~7.5~15.9~0.47~3.2~8.6~0.379~3.3~3.7~0.886~1.0~4.8~5.7~3.8~1.5~0.4~1.8~2.1~21.5
Brandon Ingram~SF~28.0~TOR~76.0~76.0~33.8~8.0~16.8~0.475~1.7~4.6~0.379~3.7~4.6~0.816~0.8~4.7~5.5~3.7~0.8~0.7~2.4~1.9~21.4
Cooper Flagg~SF~19.0~DAL~69.0~69.0~33.8~8.0~17.2~0.468~1.0~3.5~0.296~4.1~4.9~0.826~1.2~5.5~6.7~4.6~1.2~0.9~2.3~2.0~21.2
Julius Randle~PF~31.0~MIN~79.0~79.0~33.0~7.3~15.3~0.481~1.4~4.4~0.315~5.0~6.3~0.802~1.7~5.1~6.7~5.0~1.1~0.2~2.7~2.8~21.1
Shaedon Sharpe~SG~22.0~POR~49.0~42.0~29.7~7.9~17.5~0.454~2.1~6.2~0.341~3.1~4.0~0.784~1.0~3.4~4.4~2.6~1.4~0.1~3.0~2.0~21.1
Tyler Herro~SG~26.0~MIA~32.0~27.0~31.6~7.7~15.8~0.484~2.6~6.8~0.384~3.1~3.4~0.917~0.4~4.2~4.6~4.0~0.7~0.4~1.9~1.9~21.0
LeBron James~SF~41.0~LAL~59.0~59.0~33.4~7.9~15.3~0.517~1.3~4.1~0.321~3.8~5.2~0.735~0.7~5.4~6.1~7.2~1.2~0.6~3.0~1.4~21.0
Zion Williamson~PF~25.0~NOP~62.0~55.0~29.7~7.8~13.0~0.6~0.0~0.1~0.25~5.4~7.5~0.716~2.0~3.7~5.7~3.2~1.0~0.5~2.0~2.3~21.0
Nickeil Alexander-Walker~SG~27.0~ATL~78.0~71.0~33.4~7.0~15.3~0.459~3.2~8.1~0.399~3.6~3.9~0.902~0.7~2.8~3.4~3.7~1.3~0.5~2.1~2.2~20.8
Franz Wagner~SF~24.0~ORL~33.0~31.0~30.1~7.2~14.8~0.485~1.4~4.0~0.348~4.8~5.9~0.82~1.3~4.0~5.2~3.4~0.9~0.3~1.7~2.1~20.6
Anthony Davis~PF~32.0~DAL~20.0~20.0~31.3~8.5~16.7~0.506~0.5~1.9~0.27~3.0~4.1~0.728~3.1~8.0~11.1~2.8~1.1~1.7~2.1~2.1~20.4
Alperen ?eng?n~C~23.0~HOU~72.0~72.0~33.3~8.1~15.6~0.519~0.6~1.8~0.305~3.6~5.2~0.691~3.0~5.9~8.9~6.2~1.2~1.1~3.2~3.3~20.4
Desmond Bane~SG~27.0~ORL~81.0~81.0~33.8~7.2~14.8~0.485~2.0~5.2~0.392~3.9~4.2~0.91~1.2~3.0~4.1~4.2~1.0~0.4~2.0~3.1~20.2
Dillon Brooks~SF~30.0~PHO~56.0~56.0~30.4~7.4~17.1~0.435~2.3~6.6~0.344~3.0~3.6~0.842~0.8~2.9~3.6~1.8~1.0~0.2~1.8~3.3~20.2
Brandon Miller~SF~23.0~CHO~64.0~64.0~30.3~7.0~16.1~0.435~3.1~8.2~0.383~3.0~3.4~0.894~1.1~3.9~4.9~3.4~1.0~0.7~2.5~2.8~20.2
LaMelo Ball~PG~24.0~CHO~71.0~68.0~28.0~7.0~17.3~0.407~3.8~10.2~0.369~2.3~2.5~0.899~0.9~3.9~4.8~7.2~1.2~0.2~2.8~2.7~20.1
Karl-Anthony Towns~C~30.0~NYK~75.0~75.0~31.0~6.9~13.8~0.501~1.5~4.1~0.368~4.8~5.5~0.858~3.1~8.7~11.9~3.0~0.9~0.5~2.5~3.4~20.1
Bam Adebayo~C~28.0~MIA~72.0~72.0~32.4~6.9~15.7~0.439~1.8~5.5~0.318~4.5~5.8~0.78~2.0~8.0~10.0~3.2~1.2~0.7~1.7~1.7~20.0
Jimmy Butler~SF~36.0~GSW~38.0~38.0~31.1~6.3~12.2~0.519~0.8~2.2~0.376~6.5~7.6~0.864~2.3~3.2~5.6~4.9~1.4~0.2~1.6~1.2~20.0
Ty Jerome~SG~28.0~MEM~15.0~15.0~22.6~6.8~14.3~0.474~2.8~6.7~0.42~3.3~3.7~0.875~0.7~2.1~2.8~5.7~1.1~0.3~1.8~2.1~19.7
Jalen Duren~C~22.0~DET~70.0~70.0~28.2~7.5~11.5~0.65~0.0~0.0~~4.6~6.1~0.747~3.8~6.7~10.5~2.0~0.8~0.8~1.9~2.8~19.5
Ja Morant~PG~26.0~MEM~20.0~20.0~28.5~6.6~16.1~0.41~1.0~4.3~0.235~5.3~5.9~0.897~0.4~2.9~3.3~8.1~1.0~0.3~3.6~2.0~19.5
Jaren Jackson Jr.~C~26.0~2TM~48.0~48.0~30.3~7.1~15.0~0.476~1.8~4.9~0.357~3.4~4.2~0.803~0.9~4.8~5.7~2.0~1.1~1.4~2.2~3.7~19.4
Jaren Jackson Jr.~C~26.0~MEM~45.0~45.0~30.7~7.1~14.9~0.475~1.8~4.9~0.359~3.3~4.2~0.797~0.9~4.8~5.8~1.9~1.0~1.5~2.2~3.8~19.2
Zach LaVine~SG~30.0~SAC~39.0~37.0~31.4~6.7~14.0~0.479~2.5~6.5~0.39~3.2~3.6~0.88~0.2~2.6~2.8~2.3~0.7~0.3~1.9~2.1~19.2
RJ Barrett~SF~25.0~TOR~56.0~56.0~30.3~7.0~14.3~0.489~1.7~5.0~0.338~3.5~4.8~0.719~1.0~4.3~5.3~3.3~0.8~0.3~1.8~2.5~19.1
Darius Garland~PG~26.0~2TM~44.0~42.0~30.0~6.9~14.9~0.463~2.8~6.9~0.399~2.3~2.7~0.858~0.4~2.0~2.4~6.7~1.0~0.2~2.9~1.9~18.9
Darius Garland~PG~26.0~CLE~26.0~26.0~30.5~6.5~14.5~0.451~2.3~6.3~0.36~2.6~3.0~0.861~0.5~2.0~2.4~6.9~0.8~0.1~2.8~1.8~18.0
Darius Garland~PG~26.0~LAC~18.0~16.0~29.2~7.4~15.4~0.478~3.4~7.7~0.446~1.9~2.3~0.854~0.3~2.1~2.4~6.4~1.2~0.3~3.1~1.9~20.2
CJ McCollum~PG~34.0~2TM~76.0~60.0~29.8~6.9~15.2~0.455~2.5~6.7~0.375~2.4~3.1~0.772~0.8~2.5~3.3~3.9~0.8~0.5~1.8~1.9~18.7
CJ McCollum~SG~34.0~WAS~35.0~35.0~30.9~6.9~15.1~0.454~2.7~7.0~0.393~2.3~2.9~0.804~0.7~2.9~3.5~3.6~0.7~0.3~1.7~2.1~18.8
CJ McCollum~PG~34.0~ATL~41.0~25.0~28.8~7.0~15.2~0.456~2.3~6.5~0.357~2.5~3.3~0.748~1.0~2.2~3.1~4.1~1.0~0.6~1.9~1.7~18.7
Jerami Grant~PF~31.0~POR~57.0~38.0~29.7~5.8~12.8~0.453~2.4~6.1~0.389~4.6~5.6~0.814~1.0~2.5~3.5~2.1~0.7~0.6~2.1~2.5~18.6
Kon Knueppel~SF~20.0~CHO~80.0~79.0~31.5~6.4~13.4~0.477~3.4~7.9~0.427~2.4~2.8~0.862~1.2~4.1~5.3~3.4~0.7~0.2~2.0~2.1~18.6
De'Aaron Fox~PG~28.0~SAS~71.0~71.0~31.0~7.1~14.5~0.488~1.8~5.4~0.333~2.6~3.4~0.756~0.6~3.1~3.7~6.2~1.3~0.3~2.3~2.3~18.5
DeMar DeRozan~PF~36.0~SAC~77.0~77.0~31.2~6.5~13.1~0.497~0.6~1.9~0.32~4.9~5.6~0.868~0.5~2.5~2.9~4.1~1.0~0.3~1.2~1.9~18.4
Amen Thompson~PG~23.0~HOU~79.0~79.0~37.4~7.1~13.2~0.534~0.3~1.5~0.216~3.8~4.9~0.779~3.0~4.8~7.8~5.3~1.5~0.6~2.4~2.2~18.3
Evan Mobley~PF~24.0~CLE~65.0~63.0~31.9~7.2~13.2~0.546~1.0~3.2~0.297~2.8~4.6~0.606~2.4~6.6~9.0~3.6~0.7~1.7~1.9~2.4~18.2
Scottie Barnes~PF~24.0~TOR~79.0~79.0~33.5~7.1~14.1~0.504~0.9~2.8~0.304~3.0~3.7~0.814~1.9~5.6~7.4~5.8~1.4~1.4~2.6~2.7~18.1
Trae Young~PG~27.0~2TM~15.0~15.0~25.6~5.4~11.8~0.458~1.8~5.3~0.338~5.3~6.5~0.825~0.3~1.7~2.0~8.0~0.9~0.1~2.6~2.2~17.9
Trae Young~PG~27.0~ATL~10.0~10.0~28.0~5.6~13.5~0.415~1.8~5.9~0.305~6.3~7.3~0.863~0.0~1.5~1.5~8.9~1.0~0.1~2.6~2.0~19.3
Jalen Green~SG~23.0~PHO~32.0~27.0~25.9~6.8~16.0~0.422~2.2~7.1~0.313~2.0~2.7~0.747~0.5~3.1~3.6~2.8~1.1~0.3~2.3~1.3~17.8
Saddiq Bey~SF~26.0~NOP~72.0~64.0~31.2~6.1~13.4~0.451~2.1~5.7~0.367~3.4~4.1~0.841~1.7~3.9~5.6~2.5~0.9~0.1~0.9~1.3~17.7
Bennedict Mathurin~SF~23.0~2TM~53.0~25.0~30.0~5.4~12.5~0.43~1.4~4.4~0.316~5.4~6.2~0.873~1.0~4.4~5.4~2.3~0.8~0.2~2.2~2.5~17.5
Bennedict Mathurin~SF~23.0~IND~28.0~24.0~31.8~5.5~12.8~0.433~2.1~5.6~0.372~4.6~5.2~0.884~0.8~4.6~5.4~2.3~0.6~0.1~2.3~2.7~17.8
Bennedict Mathurin~SF~23.0~LAC~25.0~1.0~27.9~5.2~12.1~0.427~0.6~3.0~0.2~6.4~7.4~0.864~1.2~4.2~5.3~2.3~1.0~0.3~2.1~2.3~17.3
Paul George~PF~35.0~PHI~36.0~36.0~30.9~6.1~14.1~0.437~2.8~7.0~0.394~2.5~3.0~0.817~0.6~4.8~5.3~3.6~1.7~0.4~1.8~2.3~17.5
Kevin Porter Jr.~PG~25.0~MIL~38.0~36.0~33.2~6.3~13.5~0.465~1.2~3.8~0.322~3.6~4.1~0.878~0.9~4.3~5.2~7.4~2.2~0.5~2.9~2.3~17.4
Coby White~SG~25.0~2TM~49.0~26.0~25.2~5.6~12.5~0.444~2.3~6.4~0.359~3.9~4.8~0.821~0.3~3.1~3.4~4.0~0.5~0.1~2.6~2.2~17.3
Coby White~SG~25.0~CHI~29.0~26.0~29.1~5.9~13.6~0.438~2.5~7.2~0.346~4.3~5.3~0.805~0.2~3.5~3.7~4.7~0.7~0.1~3.0~2.4~18.6
Coby White~SG~25.0~CHO~20.0~0.0~19.5~5.0~11.0~0.455~2.0~5.2~0.385~3.5~4.1~0.852~0.5~2.6~3.1~3.1~0.3~0.2~1.9~2.0~15.5
