Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
24,Keyonte George,22,UTA,PG,48,48,33.9,7.5,16.3,0.458,2.5,6.7,0.375,5,9.6,0.515,0.535,6.4,7.1,0.894,0.5,3.4,3.9,6.5,1.1,0.3,3.3,2.3,23.8,,georgke01
25,Jalen Johnson,24,ATL,SF,54,54,35.2,8.5,17.2,0.494,1.6,4.6,0.343,6.9,12.6,0.549,0.54,4.4,5.6,0.783,1.5,9.1,10.6,7.9,1.3,0.5,3.4,2.2,23,AS,johnsja05
26,Norman Powell,32,MIA,SG,48,48,30.4,7.6,16.1,0.475,2.9,7.3,0.392,4.8,8.7,0.544,0.564,4.8,5.8,0.827,0.4,3.3,3.6,2.6,1.2,0.2,2.1,2.2,22.9,AS,powelno01
27,Trey Murphy III,25,NOP,SF,52,52,35.6,7.8,16.3,0.476,3.2,8.6,0.378,4.5,7.8,0.586,0.575,3.3,3.7,0.892,1.1,4.7,5.7,3.8,1.5,0.3,1.8,2.1,22.1,,murphtr02
28,Brandon Ingram,28,TOR,SF,56,56,34,8.1,17.2,0.472,1.8,5,0.371,6.3,12.3,0.512,0.525,3.8,4.6,0.827,0.8,4.9,5.7,3.8,0.8,0.8,2.5,2,21.9,AS,ingrabr01
29,Julius Randle,31,MIN,PF,59,59,33.4,7.7,15.7,0.489,1.5,4.7,0.321,6.2,11,0.56,0.537,5.1,6.2,0.821,1.7,5.2,6.9,5.3,1.1,0.3,2.6,2.9,21.9,,randlju01
30,Zion Williamson,25,NOP,PF,43,36,29.9,8.2,14,0.585,0,0.1,0.25,8.1,13.9,0.587,0.586,5.6,7.8,0.714,2.3,3.7,6,3.5,1,0.6,2.2,2.3,21.9,,willizi01
31,Paolo Banchero,23,ORL,PF,47,47,34.8,7.3,16.1,0.453,1.2,3.8,0.315,6.1,12.3,0.496,0.49,6,7.8,0.773,1.1,7.4,8.5,5,0.7,0.7,2.8,1.9,21.8,,banchpa01
32,LeBron James,41,LAL,SF,39,39,33.3,8.1,16.3,0.499,1.4,4.6,0.304,6.7,11.6,0.577,0.543,4,5.3,0.75,0.7,5,5.7,7,1.1,0.6,3.1,1.4,21.7,AS,jamesle01
33,Shaedon Sharpe,22,POR,SG,48,42,30,8,17.6,0.456,2.1,6.2,0.34,5.9,11.5,0.518,0.515,3.2,4,0.784,1,3.4,4.4,2.6,1.4,0.1,3,2,21.4,,sharpsh01
34,Franz Wagner,24,ORL,SF,28,26,31.8,7.3,15.3,0.479,1.5,4.1,0.365,5.8,11.2,0.521,0.528,5.1,6.2,0.828,1.5,4.3,5.8,3.6,1.1,0.3,1.7,2.3,21.3,,wagnefr01
35,Dillon Brooks,30,PHO,SF,50,50,30.6,7.7,17.4,0.44,2.3,6.8,0.343,5.3,10.6,0.502,0.507,3.2,3.8,0.856,0.8,2.9,3.7,1.8,1,0.2,1.8,3.3,20.9,,brookdi01
36,Tyler Herro,26,MIA,SG,14,10,30.1,7.8,16.2,0.48,2.1,6,0.357,5.6,10.2,0.552,0.546,3.2,3.5,0.918,0.5,4,4.5,3.2,0.9,0.4,1.7,1.9,20.9,,herroty01
37,Brandon Miller,23,CHO,SF,42,42,30.2,7.1,16.8,0.421,3,8.3,0.367,4,8.5,0.475,0.512,3.3,3.8,0.886,1.1,3.6,4.6,3.4,1,0.9,2.9,2.7,20.6,,millebr02
38,Anthony Davis,32,DAL,PF,20,20,31.3,8.5,16.7,0.506,0.5,1.9,0.27,8,14.9,0.535,0.521,3,4.1,0.728,3.1,8,11.1,2.8,1.1,1.7,2.1,2.1,20.4,,davisan02
39,Cooper Flagg,19,DAL,SF,49,49,34.1,7.8,16.1,0.482,1.1,3.5,0.302,6.7,12.6,0.532,0.515,3.8,4.7,0.804,1.1,5.4,6.6,4.1,1.2,0.8,2.2,2.1,20.4,,flaggco01
40,Alperen Şengün,23,HOU,C,49,49,33.8,7.9,16,0.496,0.6,1.9,0.293,7.4,14.1,0.523,0.513,3.9,5.7,0.693,3.1,6.1,9.1,6.3,1.3,1.1,3.2,3.2,20.3,AS,sengual01
41,Desmond Bane,27,ORL,SG,57,57,34.1,7.3,15.1,0.483,2,5.3,0.384,5.3,9.8,0.536,0.55,3.5,3.9,0.914,1.2,2.9,4.1,4.1,1,0.5,2.1,3.1,20.2,,banede01
42,Jimmy Butler,36,GSW,SF,38,38,31.1,6.3,12.2,0.519,0.8,2.2,0.376,5.5,9.9,0.552,0.554,6.5,7.6,0.864,2.3,3.2,5.6,4.9,1.4,0.2,1.6,1.2,20,,butleji01
43,Karl-Anthony Towns,30,NYK,C,55,55,31.3,6.6,13.9,0.477,1.6,4.5,0.367,5,9.5,0.529,0.536,5.1,5.9,0.855,3,8.7,11.7,2.9,0.9,0.6,2.6,3.5,20,AS,townska01
44,Nickeil Alexander-Walker,27,ATL,SG,58,51,33.2,6.7,15.5,0.431,3,8.1,0.373,3.7,7.4,0.495,0.529,3.4,3.9,0.888,0.6,3,3.6,3.8,1.2,0.6,2.1,2.1,19.8,,alexani01
45,Ja Morant,26,MEM,PG,20,20,28.5,6.6,16.1,0.41,1,4.3,0.235,5.6,11.9,0.473,0.441,5.3,5.9,0.897,0.4,2.9,3.3,8.1,1,0.3,3.6,2,19.5,,moranja01
46,Jaren Jackson Jr.,26,2TM,C,48,48,30.3,7.1,15,0.476,1.8,4.9,0.357,5.4,10.1,0.533,0.534,3.4,4.2,0.803,0.9,4.8,5.7,2,1.1,1.4,2.2,3.7,19.4,,jacksja02
46,Jaren Jackson Jr.,26,MEM,C,45,45,30.7,7.1,14.9,0.475,1.8,4.9,0.359,5.3,10,0.531,0.534,3.3,4.2,0.797,0.9,4.8,5.8,1.9,1,1.5,2.2,3.8,19.2,,jacksja02
46,Jaren Jackson Jr.,26,UTA,C,3,3,24,8,16.3,0.49,1.7,5,0.333,6.3,11.3,0.559,0.541,4.7,5.3,0.875,0.3,4,4.3,2.7,2,0.3,2.3,3,22.3,,jacksja02
47,LaMelo Ball,24,CHO,PG,49,46,27.7,6.8,17,0.401,3.5,9.6,0.366,3.3,7.4,0.446,0.504,2.3,2.5,0.895,0.8,4,4.8,7.3,1.1,0.2,2.9,2.6,19.4,,ballla01
48,Ty Jerome,28,MEM,SG,7,7,20.6,6.3,12.4,0.506,2.4,6.1,0.395,3.9,6.3,0.614,0.603,4.3,5,0.857,0.9,1.9,2.7,5.7,1.3,0.3,1.7,2.1,19.3,,jeromty01
49,Kon Knueppel,20,CHO,SF,58,57,31.9,6.6,13.5,0.489,3.5,7.9,0.436,3.1,5.6,0.563,0.617,2.6,2.9,0.893,1.2,4.2,5.4,3.5,0.7,0.2,2.2,2.1,19.3,,knuepko01
50,Trae Young,27,ATL,PG,10,10,28,5.6,13.5,0.415,1.8,5.9,0.305,3.8,7.6,0.5,0.481,6.3,7.3,0.863,0,1.5,1.5,8.9,1,0.1,2.6,2,19.3,,youngtr01
