Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
98,Jarrett Allen,27,CLE,C,47,47,27.4,5.9,9.3,0.632,0,0.2,0.1,5.8,9,0.645,0.633,3.1,4.3,0.729,2.6,6,8.6,1.9,1,0.9,1.4,1.8,14.9,,allenja01
99,Peyton Watson,23,DEN,SF,49,39,30.7,5.4,10.9,0.496,1.5,3.7,0.417,3.9,7.2,0.537,0.567,2.6,3.6,0.727,0.9,4,4.9,2,1,1.2,1.8,2.5,14.9,,watsope01
100,Kyshawn George,22,WAS,SF,46,46,29.4,5.3,12.1,0.436,2,5.5,0.371,3.3,6.7,0.49,0.52,2.2,2.7,0.808,0.9,4.3,5.2,4.6,1,0.9,2.7,3.6,14.8,,georgky01
101,Ayo Dosunmu,26,2TM,SG,51,10,26.5,5.4,10.6,0.511,1.9,4.2,0.44,3.6,6.4,0.558,0.599,1.9,2.2,0.857,0.7,2.2,2.9,3.5,0.8,0.3,1.3,1.8,14.6,,dosunay01
101,Ayo Dosunmu,26,CHI,SG,45,10,26.4,5.6,10.8,0.514,1.9,4.3,0.451,3.6,6.5,0.556,0.604,2,2.3,0.857,0.7,2.3,3,3.6,0.8,0.3,1.4,1.7,15,,dosunay01
101,Ayo Dosunmu,26,MIN,SG,6,0,27.2,4.5,9.3,0.482,1.3,3.8,0.348,3.2,5.5,0.576,0.554,1,1.2,0.857,0.3,1.5,1.8,2.8,0.8,0.2,0.5,2.2,11.3,,dosunay01
102,Keegan Murray,25,SAC,PF,22,21,35.6,5.7,13.5,0.423,1.4,5,0.279,4.3,8.5,0.508,0.475,1.6,2.1,0.761,1.5,4.5,6,1.7,1.1,1.6,1.2,1.9,14.5,,murrake02
103,Walker Kessler,24,UTA,C,5,5,30.8,5.2,7.4,0.703,1.2,1.6,0.75,4,5.8,0.69,0.784,2.8,4,0.7,4.6,6.2,10.8,3,1.4,1.8,3.2,4.4,14.4,,kesslwa01
104,Kelly Oubre Jr.,30,PHI,SF,36,31,32.6,5,10.8,0.464,1.9,5,0.37,3.2,5.8,0.545,0.55,2.4,3.2,0.759,0.9,3.8,4.7,1.7,1.4,0.6,1.3,2.6,14.4,,oubreke01
105,Ivica Zubac,28,LAC,C,43,42,30.9,6.1,10,0.613,0,0,,6.1,10,0.613,0.613,2.2,3.1,0.705,3.4,7.6,11,2.2,0.4,0.8,1.9,2.4,14.4,,zubaciv01
106,Anfernee Simons,26,2TM,SG,55,5,24.9,5.2,11.8,0.44,2.7,6.9,0.385,2.5,4.9,0.517,0.552,1.3,1.4,0.896,0.6,1.9,2.5,2.4,0.5,0.1,1.2,1.7,14.3,,simonan01
106,Anfernee Simons,26,BOS,SG,49,0,24.5,5.1,11.6,0.44,2.7,6.7,0.395,2.4,4.9,0.502,0.555,1.3,1.5,0.889,0.5,1.9,2.4,2.4,0.6,0.1,1.1,1.7,14.2,,simonan01
106,Anfernee Simons,26,CHI,SG,6,5,28.3,5.8,13.3,0.438,2.7,8.3,0.32,3.2,5,0.633,0.538,0.8,0.8,1,0.8,2,2.8,3,0,0.3,2.2,2,15.2,,simonan01
107,Jordan Poole,26,NOP,PG,31,6,25.2,4.5,11.9,0.373,2.6,7.6,0.339,1.9,4.3,0.433,0.481,2.8,3.2,0.88,0.2,1.8,2.1,3.1,0.6,0.3,1.8,2.4,14.3,,poolejo01
108,P.J. Washington,27,DAL,PF,42,39,31,5.4,12,0.448,1.2,4,0.306,4.1,8,0.521,0.5,2.3,3.4,0.674,1.4,5.7,7.1,1.9,1,1.3,1.9,2.3,14.3,,washipj01
109,Naz Reid,26,MIN,C,58,2,26.2,5.3,11.3,0.471,2.4,6.2,0.39,2.9,5.1,0.571,0.579,1.1,1.5,0.733,1.2,5.2,6.4,2.5,1,0.9,1.6,2.5,14.2,,reidna01
110,Devin Vassell,25,SAS,SG,44,42,30.6,5.1,11.8,0.433,2.4,6.6,0.369,2.7,5.2,0.513,0.536,1.6,1.9,0.841,0.5,3.3,3.8,2.4,0.8,0.4,0.9,1.6,14.2,,vassede01
111,Ajay Mitchell,23,OKC,SG,43,9,26.3,5.2,10.6,0.487,1.1,3.2,0.35,4,7.4,0.545,0.539,2.7,3,0.87,0.7,2.8,3.5,3.7,1.4,0.3,1.6,2.2,14.1,,mitchaj01
112,Santi Aldama,25,MEM,PF,43,11,27.9,5.3,11.1,0.479,1.6,4.7,0.35,3.7,6.4,0.572,0.553,1.8,2.7,0.667,1.6,5.1,6.7,2.9,0.9,0.7,1.3,1.6,14,,aldamsa01
113,Obi Toppin,27,IND,PF,3,0,27.3,5,12,0.417,1,5.7,0.176,4,6.3,0.632,0.458,3,3,1,1,5.7,6.7,1.7,1,0,2,2.3,14,,toppiob01
114,Collin Sexton,27,2TM,SG,49,13,22.5,4.7,9.9,0.478,1.3,3.5,0.382,3.4,6.4,0.532,0.546,3.1,3.5,0.872,0.5,1.5,2,3.4,0.9,0.2,2.2,1.9,13.9,,sextoco01
114,Collin Sexton,27,CHO,SG,42,12,22.3,4.8,9.9,0.488,1.4,3.5,0.393,3.5,6.4,0.539,0.557,3.2,3.7,0.877,0.4,1.5,1.9,3.7,0.9,0.2,2.1,1.8,14.2,,sextoco01
114,Collin Sexton,27,CHI,SG,7,1,23.3,4.3,10.1,0.423,1.3,4,0.321,3,6.1,0.488,0.486,2.1,2.6,0.833,0.9,1.6,2.4,1.4,1.4,0.1,2.4,2.4,12,,sextoco01
115,Tim Hardaway Jr.,33,DEN,SG,57,5,27.2,4.5,10,0.452,2.8,6.9,0.404,1.7,3,0.564,0.593,2.1,2.4,0.849,0.2,2.4,2.6,1.3,0.5,0.1,0.5,1.2,13.9,,hardati02
116,Scoot Henderson,21,POR,PG,7,0,22.7,4.1,10.3,0.403,1.7,5.4,0.316,2.4,4.9,0.5,0.486,3.9,4.4,0.871,0.7,2.6,3.3,5.1,0.4,0.1,3.4,3,13.9,,hendesc01
117,Jalen Suggs,24,ORL,PG,34,34,26.5,4.9,11.1,0.442,2,6,0.328,2.9,5.1,0.575,0.53,2.1,2.5,0.847,0.7,3.3,4,5.4,1.9,0.8,2.5,2.7,13.9,,suggsja01
118,John Collins,28,LAC,PF,53,44,27.8,5.4,9.5,0.565,1.4,3.2,0.427,4,6.3,0.636,0.637,1.6,2,0.778,1.4,3.8,5.2,1,0.8,0.8,1.4,2.7,13.8,,collijo01
119,De'Andre Hunter,28,2TM,SF,45,25,26.1,4.6,11.1,0.415,1.7,5.5,0.305,3,5.7,0.522,0.49,2.8,3.2,0.867,0.7,3.4,4.1,2,0.7,0.1,1.7,2.5,13.7,,huntede01
119,De'Andre Hunter,28,CLE,SF,43,23,26.2,4.7,11.2,0.423,1.7,5.5,0.308,3,5.7,0.535,0.499,2.8,3.2,0.869,0.7,3.6,4.2,2.1,0.7,0.1,1.7,2.5,14,,huntede01
119,De'Andre Hunter,28,SAC,SF,2,2,25.5,2,9.5,0.211,1,4.5,0.222,1,5,0.2,0.263,2.5,3,0.833,0.5,1,1.5,0.5,0,0,2,2.5,7.5,,huntede01
120,Zach Edey,23,MEM,C,11,11,25.8,5.6,8.9,0.633,0.1,0.5,0.2,5.5,8.5,0.656,0.638,2.3,2.9,0.781,3.9,7.2,11.1,1.1,0.6,1.9,2.4,3.4,13.6,,edeyza01
121,Jaylon Tyson,23,CLE,SG,54,35,27.3,5.1,10.1,0.508,2,4.3,0.464,3.1,5.7,0.542,0.608,1.3,1.6,0.764,1.9,3.4,5.3,2.2,0.8,0.4,1.5,2.5,13.5,,tysonja01
122,Collin Gillespie,26,PHO,PG,58,39,28.7,4.7,10.9,0.431,3,7.2,0.42,1.7,3.7,0.453,0.57,1,1.2,0.843,1,3.1,4.1,4.7,1.4,0.2,1.7,1.6,13.4,,gilleco01
123,Keldon Johnson,26,SAS,SF,57,0,23.7,5.1,9.4,0.541,1.2,3.2,0.381,3.9,6.2,0.623,0.606,2,2.5,0.793,1.8,3.9,5.7,1.4,0.6,0.1,1,2,13.4,,johnske04
124,Max Christie,22,DAL,SG,52,43,29.7,4.6,9.8,0.468,2.4,5.7,0.423,2.2,4.1,0.531,0.591,1.7,2,0.874,0.2,3.2,3.4,2.3,0.5,0.3,1.1,1.4,13.3,,chrisma02
125,Cedric Coward,22,MEM,SG,48,35,26.3,4.9,10.4,0.468,1.5,4.4,0.34,3.4,6,0.561,0.539,2.1,2.5,0.843,1.4,4.9,6.2,2.9,0.6,0.4,1.8,2,13.3,,cowarce01
126,Jalen Green,23,PHO,SG,11,6,19.8,5,13.5,0.369,1.9,6.5,0.292,3.1,7,0.442,0.44,1.4,1.9,0.714,0.6,2.3,2.9,2.3,1.1,0,1.5,0.9,13.3,,greenja05
127,Tobias Harris,33,DET,PF,40,40,28.1,4.8,10.7,0.448,1.4,4,0.348,3.4,6.8,0.506,0.512,2.3,2.6,0.867,1,4.2,5.1,2.4,0.9,0.3,1.1,1.8,13.3,,harrito02
128,Deandre Ayton,27,LAL,C,49,49,28.2,6,9,0.667,0,0,,6,9,0.667,0.667,1.2,1.8,0.678,2.5,6,8.5,0.9,0.6,0.9,1.4,2.4,13.2,,aytonde01
129,Aaron Nesmith,26,IND,SF,33,30,30,4.4,11.3,0.386,2.3,6.3,0.367,2.1,5,0.41,0.488,2.2,2.7,0.82,1.3,3.4,4.7,2.1,0.6,0.5,1.4,2.7,13.2,,nesmiaa01
130,Bobby Portis,30,MIL,PF,54,9,24.2,5.4,11,0.487,1.9,4.2,0.45,3.4,6.7,0.511,0.574,0.6,0.9,0.723,1.4,5.2,6.6,1.6,0.6,0.2,1,1.7,13.2,,portibo01
131,Jeremiah Fears,19,NOP,PG,59,44,25.6,5,11.7,0.425,1,3.2,0.314,4,8.5,0.468,0.469,2.1,2.7,0.785,0.7,3,3.7,3.2,1.3,0.3,2.2,1.8,13.1,,fearsje01
132,Toumani Camara,25,POR,PF,59,59,33.4,4.7,10.6,0.439,2.6,7,0.365,2.1,3.6,0.585,0.56,1.1,1.7,0.673,1.7,3.6,5.3,2.6,1,0.4,2,3.1,13,,camarto01
133,Sam Merrill,29,CLE,SG,35,23,25.2,4.3,8.9,0.482,3.4,7.2,0.466,0.9,1.7,0.552,0.672,1,1.2,0.878,0.7,1.6,2.3,2.2,0.5,0.1,0.9,2.5,13,,merrisa01
134,Dejounte Murray,29,NOP,PG,1,1,25,5,11,0.455,1,4,0.25,4,7,0.571,0.5,2,2,1,0,2,2,3,1,0,5,2,13,,murrade01
135,Noah Clowney,21,BRK,PF,51,45,28.3,4,10,0.395,2.1,6.4,0.326,1.9,3.6,0.519,0.5,2.9,3.7,0.793,0.9,3.3,4.2,1.7,0.8,0.7,1.7,2.8,12.9,,clownno01
136,Miles McBride,25,NYK,SG,35,14,28,4.5,10.3,0.434,2.9,6.9,0.42,1.6,3.4,0.462,0.575,1,1.2,0.814,0.6,2,2.6,2.8,0.9,0.2,0.8,1.8,12.9,,mcbrimi01
137,Jonathan Kuminga,23,2TM,PF,21,13,23.8,4.6,9.8,0.471,1,2.7,0.351,3.7,7.1,0.517,0.519,2.6,3.5,0.753,1.5,4.4,5.9,2.6,0.5,0.3,2.3,1.6,12.8,,kuminjo01
137,Jonathan Kuminga,23,GSW,PF,20,13,23.8,4.4,9.7,0.454,0.9,2.7,0.321,3.6,7.1,0.504,0.497,2.5,3.3,0.742,1.5,4.4,5.9,2.5,0.4,0.3,2.3,1.7,12.1,,kuminjo01
137,Jonathan Kuminga,23,ATL,PF,1,0,24,9,12,0.75,3,4,0.75,6,8,0.75,0.875,6,7,0.857,3,4,7,4,2,0,2,1,27,,kuminjo01
138,Donte DiVincenzo,29,MIN,SG,59,59,31.1,4.3,10.4,0.418,3.1,7.9,0.39,1.3,2.5,0.51,0.567,1,1.4,0.753,1,3.5,4.5,4.2,1.4,0.4,1.5,2.6,12.8,,divindo01
139,Quentin Grimes,25,PHI,SG,52,7,29.7,4.2,9.4,0.445,1.9,5.3,0.349,2.3,4.1,0.571,0.544,2.6,3.1,0.844,0.6,3,3.6,3.6,0.9,0.4,1.8,2.1,12.8,,grimequ01
140,Kyle Kuzma,30,MIL,PF,53,29,26.6,4.8,10.1,0.48,1,3.1,0.325,3.8,7,0.55,0.531,2.1,2.9,0.724,0.9,4,4.9,2.5,0.6,0.4,1.6,2,12.8,,kuzmaky01
141,Brandon Williams,26,DAL,PG,49,12,22.1,4.6,9.6,0.476,0.6,2.4,0.227,4,7.2,0.56,0.504,3.1,4.1,0.774,0.5,2.3,2.8,3.9,1,0.2,2,1.6,12.8,,willibr03
142,Tre Johnson,19,WAS,SG,44,26,24.5,4.6,10.6,0.436,2,5.3,0.37,2.7,5.3,0.502,0.529,1.4,1.6,0.9,0.5,2.2,2.7,2.1,0.6,0.3,1.4,1.8,12.7,,johnstr03
143,De'Anthony Melton,27,GSW,PG,31,7,22.2,4.5,10.6,0.424,1.5,5.1,0.291,3,5.5,0.547,0.494,2.2,2.7,0.812,0.5,2.4,2.9,2.3,1.6,0.4,1.7,2.3,12.7,,meltode01
144,Brice Sensabaugh,22,UTA,SF,55,10,22.1,4.5,9.8,0.454,1.8,5.3,0.348,2.6,4.5,0.576,0.547,2,2.3,0.845,0.7,2.2,3,1.5,0.7,0.1,1.3,1.9,12.7,,sensabr01
145,Reed Sheppard,21,HOU,SG,56,6,24.6,4.7,10.9,0.429,2.4,6.2,0.39,2.3,4.7,0.481,0.54,0.9,1.1,0.79,0.3,2.3,2.6,3,1.4,0.6,1.4,2,12.7,,sheppre01
146,Nic Claxton,26,BRK,C,52,51,29.4,5.2,8.8,0.591,0.1,0.3,0.2,5.1,8.5,0.605,0.595,2.2,3.7,0.607,2.5,4.7,7.3,4.1,0.8,1.2,1.4,2.3,12.6,,claxtni01
147,Malik Monk,27,SAC,SG,46,0,22.2,4.5,10.2,0.44,2.1,5,0.421,2.4,5.3,0.459,0.543,1.4,1.7,0.857,0.3,1.7,1.9,2.6,0.7,0.4,1.5,1.6,12.5,,monkma01
148,Myles Turner,29,MIL,C,52,52,28.3,4.2,9.6,0.441,2.1,5.6,0.381,2.1,4,0.524,0.551,2,2.6,0.756,1.2,4.5,5.7,1.6,0.7,1.7,1.2,2.6,12.5,,turnemy01
149,Duncan Robinson,31,DET,SF,54,54,27.9,4.1,9.5,0.438,3,7.4,0.401,1.2,2.1,0.571,0.595,1,1.4,0.747,0.4,2.3,2.7,1.9,0.6,0.3,0.7,2.1,12.3,,robindu01
150,Jaylen Wells,22,MEM,SG,55,55,26.8,4.3,10.2,0.421,1.8,5.2,0.338,2.5,5,0.507,0.507,2,2.6,0.775,0.9,2.5,3.4,1.7,0.8,0.1,1.1,2.2,12.3,,wellsja01
151,Brandin Podziemski,22,GSW,SG,58,19,27.1,4.4,9.7,0.449,1.7,4.5,0.366,2.7,5.2,0.52,0.534,1.8,2.3,0.765,0.9,4.1,5,3.7,1.1,0.2,1.5,1.8,12.2,,podzibr01
152,Derik Queen,21,NOP,C,58,45,25.8,4.7,9.6,0.49,0.3,1,0.276,4.4,8.6,0.515,0.505,2.6,3.3,0.771,1.7,5.6,7.3,4,1,0.9,2.4,2.8,12.2,,queende01
153,Dennis Schröder,32,2TM,PG,48,14,25.4,4,10.1,0.399,1.3,3.9,0.33,2.7,6.2,0.443,0.463,2.6,3.2,0.829,0.5,2.5,2.9,5.1,0.9,0.2,1.9,1.5,12,,schrode01
153,Dennis Schröder,32,SAC,PG,40,14,26.4,4.3,10.6,0.408,1.4,4.2,0.343,2.9,6.4,0.449,0.475,2.7,3.3,0.82,0.6,2.5,3.1,5.3,0.8,0.2,2,1.7,12.8,,schrode01
153,Dennis Schröder,32,CLE,PG,8,0,20.4,2.6,7.8,0.339,0.6,2.8,0.227,2,5,0.4,0.379,2.1,2.4,0.895,0,2.3,2.3,4.1,1.5,0.3,1.4,0.9,8,,schrode01
154,Blake Hinson,26,UTA,SF,2,0,20.5,4.5,6.5,0.692,3,4.5,0.667,1.5,2,0.75,0.923,0,0,,0.5,2,2.5,0.5,0,0,0.5,3,12,,hinsobl01
155,Donovan Clingan,21,POR,C,55,55,27.6,4.6,8.6,0.531,1.1,3.2,0.337,3.5,5.5,0.643,0.593,1.6,2.5,0.667,4.6,6.9,11.5,2.1,0.5,1.5,1.1,2.2,11.9,,clingdo01
156,Tari Eason,24,HOU,PF,34,20,26.1,4.5,10.2,0.445,2.1,4.9,0.436,2.4,5.3,0.453,0.549,0.7,1.1,0.676,2,4.4,6.3,1.6,1.3,0.5,1.6,2.2,11.9,,easonta01
157,Josh Hart,30,NYK,SF,47,33,30.4,4.5,9,0.494,1.5,3.8,0.397,3,5.2,0.565,0.578,1.4,1.9,0.725,1.4,6,7.4,5.2,1.1,0.3,2,2.4,11.9,,hartjo01
158,Tre Jones,26,CHI,PG,42,20,26.5,4.3,7.9,0.538,0.5,1.6,0.319,3.7,6.3,0.595,0.571,2.9,3.4,0.839,0.6,2.2,2.8,5.7,1.3,0.2,1.3,1.3,11.9,,jonestr01
159,Moses Moody,23,GSW,SG,56,45,25.4,4,9.1,0.444,2.5,6.1,0.402,1.6,2.9,0.53,0.58,1.4,1.9,0.764,0.9,2.5,3.4,1.6,0.9,0.6,0.9,2,11.9,,moodymo01
160,Ace Bailey,19,UTA,SF,51,40,26.5,4.8,10.7,0.445,1.5,4.4,0.332,3.3,6.3,0.525,0.514,0.7,1,0.706,1.6,2.4,4,1.7,0.8,0.5,1.3,2.5,11.7,,baileac01
161,Rui Hachimura,27,LAL,PF,47,31,29.5,4.6,9.1,0.506,1.8,4.1,0.44,2.8,5,0.559,0.604,0.8,1,0.735,0.6,2.8,3.4,0.9,0.6,0.3,0.7,1.6,11.7,,hachiru01
162,Cameron Johnson,29,DEN,SF,34,34,30.6,4,8.6,0.461,1.9,4.4,0.417,2.1,4.2,0.507,0.568,1.9,2.3,0.844,0.7,2.9,3.6,2.3,0.7,0.3,0.9,2.3,11.7,,johnsca02
163,Mark Williams,24,PHO,C,54,50,23.8,4.7,7.4,0.64,0,0,1,4.7,7.4,0.639,0.641,2.2,2.9,0.771,3.1,4.9,8,1,0.9,0.9,1.1,2.2,11.7,,willima07
164,Wendell Carter Jr.,26,ORL,C,55,55,29.7,4.1,8.4,0.492,1,3.3,0.318,3.1,5.2,0.602,0.554,2.2,2.8,0.804,2.1,5.5,7.6,2.1,0.8,0.6,1.3,3.5,11.6,,cartewe01
165,Klay Thompson,35,DAL,SF,52,8,22.2,4.1,10.6,0.387,2.9,7.7,0.378,1.2,2.9,0.408,0.524,0.5,0.7,0.73,0.3,2.1,2.4,1.4,0.5,0.3,1,1,11.6,,thompkl01
166,Kel'el Ware,21,MIA,C,55,29,22.1,4.6,8.7,0.529,1.2,2.9,0.403,3.4,5.8,0.593,0.597,1.1,1.4,0.779,3.1,6.3,9.4,0.5,0.8,1,0.8,1.6,11.4,,wareke01
167,Dyson Daniels,22,ATL,SG,57,57,33.4,5.1,10.2,0.495,0.2,1.4,0.122,4.9,8.8,0.556,0.503,1,1.7,0.598,2.2,4.3,6.6,6.1,1.9,0.4,1.9,2.2,11.3,,daniedy01
168,Jock Landale,30,2TM,C,53,26,23.1,4.4,8.5,0.519,1.2,2.9,0.4,3.2,5.5,0.582,0.588,1.3,1.9,0.67,3.1,3.2,6.3,1.6,0.5,0.5,0.9,2.2,11.3,,landajo01
168,Jock Landale,30,MEM,C,45,25,23.6,4.4,8.6,0.514,1.1,2.9,0.38,3.4,5.8,0.581,0.577,1.3,2,0.674,3.1,3.4,6.5,1.7,0.6,0.5,1,2.3,11.3,,landajo01
168,Jock Landale,30,ATL,C,8,1,20.5,4.1,7.5,0.55,1.6,3.3,0.5,2.5,4.3,0.588,0.658,1.1,1.8,0.643,2.8,2.5,5.3,1.4,0.4,0.8,0.5,1.8,11,,landajo01
169,Caleb Love,24,POR,SG,45,1,22.2,4.2,10.8,0.39,2.1,6.4,0.321,2.1,4.3,0.492,0.486,0.8,1.1,0.735,0.6,2,2.5,2.7,0.6,0.1,1.4,1,11.3,,loveca01
170,Cam Spencer,25,MEM,SG,54,15,23.9,3.7,7.9,0.472,2.1,4.7,0.441,1.6,3.1,0.518,0.604,1.8,1.9,0.933,0.5,2.2,2.7,5.6,0.7,0.1,1.4,1.4,11.3,,spencca01
171,Rudy Gobert,33,MIN,C,56,56,31.4,4.5,6.4,0.708,0,0.1,0,4.5,6.4,0.713,0.708,2.1,4.1,0.506,3.9,7.5,11.4,1.7,0.8,1.6,1.4,2.7,11.2,,goberru01
172,Sandro Mamukelashvili,26,TOR,C,56,11,22.4,4.2,8.1,0.519,1.4,3.8,0.381,2.8,4.3,0.639,0.608,1.4,1.9,0.764,1.5,3.5,4.9,1.9,0.8,0.6,0.8,1.9,11.2,,mamuksa01
173,Scotty Pippen Jr.,25,MEM,PG,5,2,20.6,3.8,9.4,0.404,1.2,3.6,0.333,2.6,5.8,0.448,0.468,2.4,2.8,0.857,0.6,1,1.6,5.4,2.6,0.6,3,3.2,11.2,,pippesc02
174,Julian Champagnie,24,SAS,SF,57,43,28,3.6,8.4,0.426,2.4,6.4,0.374,1.2,1.9,0.595,0.569,1.6,1.9,0.85,0.9,5,5.9,1.4,0.8,0.4,0.9,1.6,11.1,,champju02
175,Isaiah Joe,26,OKC,SG,50,5,21.6,3.4,7.6,0.445,2.6,6,0.427,0.8,1.6,0.513,0.613,1.7,1.9,0.884,0.5,2.1,2.6,1.5,0.8,0.2,0.7,1.8,11,,joeis01
176,Alondes Williams,26,WAS,SG,4,0,25.3,4,6.5,0.615,1.3,3.5,0.357,2.8,3,0.917,0.712,1.8,2,0.875,1.3,5,6.3,3,0.8,0.8,1.3,1,11,,willial06
177,Dylan Harper,19,SAS,SG,46,0,21.7,4.4,9.4,0.47,0.6,2.5,0.254,3.8,6.9,0.547,0.503,1.5,2,0.744,0.7,2.7,3.3,3.6,0.8,0.3,1.4,1.8,10.9,,harpedy01
178,Jusuf Nurkić,31,UTA,C,41,36,26.4,4.4,8.7,0.503,0.6,1.7,0.352,3.8,7,0.54,0.538,1.5,2.8,0.549,2.6,7.8,10.4,4.8,1.3,0.5,2.5,3.3,10.9,,nurkiju01
179,Khris Middleton,34,2TM,SF,39,37,24.2,3.9,8.9,0.441,1,3,0.336,2.9,6,0.494,0.497,1.9,2.2,0.851,1,3.1,4.1,3.2,0.8,0.2,1.7,2.5,10.8,,middlkh01
179,Khris Middleton,34,WAS,SF,34,34,24.3,3.8,8.8,0.433,1,2.9,0.333,2.9,5.9,0.483,0.488,1.7,2,0.841,0.9,3.1,3.9,3.3,0.8,0.3,1.7,2.5,10.3,,middlkh01
179,Khris Middleton,34,DAL,SF,5,3,23,4.8,9.8,0.49,1.2,3.4,0.353,3.6,6.4,0.563,0.551,3.2,3.6,0.889,1.6,3.2,4.8,2.6,0.8,0,1.6,2,14,,middlkh01
180,Isaiah Collier,21,UTA,PG,50,14,25.6,4,7.9,0.501,0.5,1.7,0.282,3.5,6.2,0.561,0.531,2.4,3.4,0.702,0.4,2.2,2.6,7.3,1.1,0.3,2.5,2.4,10.8,,colliis01
181,Jarace Walker,22,IND,PF,58,23,24.6,3.7,9.2,0.396,1.6,4.6,0.356,2,4.7,0.435,0.484,1.8,2.4,0.77,0.7,4.3,4.9,2.3,0.8,0.3,1.8,1.7,10.8,,walkeja02
182,Isaiah Hartenstein,27,OKC,C,33,32,25.7,4.5,7,0.645,0,0.2,0,4.5,6.8,0.659,0.645,1.6,2.6,0.628,3.3,6.2,9.5,3.5,1,0.7,2,2.7,10.7,,harteis01
183,Marvin Bagley III,26,2TM,PF,44,8,19.8,4.3,6.9,0.619,0.2,0.5,0.435,4,6.3,0.634,0.636,1.9,2.8,0.672,2.7,3.4,6.1,1.4,0.5,0.7,1.1,2,10.6,,baglema01
183,Marvin Bagley III,26,WAS,PF,38,8,19.2,4.1,6.5,0.626,0.2,0.5,0.421,3.8,6,0.643,0.642,1.8,2.6,0.711,2.6,3.1,5.7,1.5,0.5,0.7,1.2,2.1,10.1,,baglema01
183,Marvin Bagley III,26,DAL,PF,6,0,23.2,5.5,9.3,0.589,0.3,0.7,0.5,5.2,8.7,0.596,0.607,2.2,4.2,0.52,3.7,5.2,8.8,1,0.5,0.8,0.5,1.7,13.5,,baglema01
184,Harrison Barnes,33,SAS,PF,57,49,27.3,3.6,8.1,0.443,1.9,5,0.373,1.7,3,0.561,0.56,1.4,1.7,0.845,0.9,2.1,3,2.1,0.6,0.2,0.9,1.2,10.5,,barneha02
185,Egor Dёmin,19,BRK,PG,50,43,25.2,3.5,8.8,0.396,2.4,6.3,0.385,1.1,2.5,0.424,0.534,1.1,1.3,0.841,0.4,2.8,3.2,3.2,0.8,0.3,1.7,1.8,10.5,,demineg01
186,Derrick Jones Jr.,28,LAC,SF,25,20,26,3.8,7.4,0.519,1.2,3.4,0.365,2.6,4,0.65,0.603,1.5,1.9,0.771,0.9,1.9,2.8,1.3,0.8,1.1,0.8,2,10.4,,jonesde02
187,Kevin Huerter,27,2TM,SG,48,11,22.6,4,8.8,0.454,1.5,4.8,0.306,2.5,4,0.634,0.538,0.9,1.2,0.732,0.5,3.1,3.7,2.5,0.8,0.6,1.1,1.9,10.3,,huertke01
187,Kevin Huerter,27,CHI,SF,44,11,23.6,4.2,9.2,0.455,1.6,5.1,0.314,2.6,4.1,0.63,0.542,0.9,1.3,0.732,0.5,3.3,3.8,2.6,0.8,0.6,1.1,1.9,10.9,,huertke01
187,Kevin Huerter,27,DET,SG,4,0,12,2,4.8,0.421,0.3,2.3,0.111,1.8,2.5,0.7,0.447,0,0,,0.5,1.3,1.8,0.8,0.8,0.3,0.5,1.3,4.3,,huertke01
188,A.J. Green,26,MIL,SG,52,52,30.1,3.4,7.8,0.43,3,7,0.423,0.4,0.8,0.488,0.619,0.6,0.7,0.806,0.3,2.3,2.6,2.1,0.6,0.1,0.8,2.4,10.3,,greenaj01
189,Pelle Larsson,24,MIA,SG,48,35,24.6,3.7,7.4,0.499,0.9,2.8,0.316,2.8,4.6,0.608,0.558,2,2.6,0.77,0.8,2.6,3.4,3.3,0.7,0.2,1.2,1.9,10.3,,larsspe01
190,Zaccharie Risacher,20,ATL,SF,46,44,24.3,4,9.1,0.441,1.5,4.3,0.345,2.5,4.8,0.527,0.523,0.8,1.3,0.597,0.9,2.7,3.6,1.3,0.9,0.5,1,2.2,10.3,,risacza01
191,Jalen Smith,25,CHI,C,46,15,20.3,3.7,7.6,0.49,1.6,4.1,0.385,2.2,3.6,0.61,0.593,1.2,1.7,0.731,1.8,5.1,7,1.3,0.5,0.8,1,2,10.3,,smithja04
192,Aaron Wiggins,27,OKC,SG,44,16,23.7,3.9,8.9,0.437,1.8,4.6,0.377,2.1,4.3,0.503,0.536,0.8,1.1,0.735,0.6,2.8,3.4,1.8,0.9,0.5,1.4,1.4,10.3,,wiggiaa01
193,Christian Braun,24,DEN,SG,22,22,30.5,3.9,7.9,0.497,0.6,2.4,0.269,3.3,5.5,0.595,0.538,1.8,2.3,0.765,1.5,2.9,4.4,3,0.7,0.3,1.3,2.3,10.2,,braunch01
194,D'Angelo Russell,29,DAL,PG,26,3,19,3.6,8.9,0.405,1.3,4.3,0.295,2.3,4.6,0.508,0.476,1.7,2.3,0.717,0.3,2,2.3,4,0.5,0.1,1.9,1.2,10.2,,russeda01
195,Bilal Coulibaly,21,WAS,SG,37,37,26.2,3.4,8.3,0.406,0.9,3.3,0.276,2.5,5,0.492,0.461,2.4,3.2,0.752,0.9,3.5,4.4,2.6,1.5,1,1.5,2.5,10.1,,coulibi01
